month	totals	residual_add
2010-01	15346	-9223372036854762960
2010-02	14929	-9223372036854762960
2010-03	19380	-9223372036854762960
2010-04	15922	-9223372036854762960
2010-05	13890	-9223372036854762960
2010-06	14432	-9223372036854762960
2010-07	12848	13359
2010-08	14183	14200
2010-09	13743	15217
2010-10	14371	14794
2010-11	15005	13890
2010-12	15546	10851
2011-01	13324	9186
2011-02	15154	11435
2011-03	19479	10957
2011-04	17025	12942
2011-05	15458	14372
2011-06	15027	13523
2011-07	13519	13214
2011-08	13583	12321
2011-09	14477	14373
2011-10	14842	13533
2011-11	15588	12640
2011-12	18592	11932
2012-01	17958	11685
2012-02	19861	13679
2012-03	22234	10950
2012-04	19172	12113
2012-05	18426	13954
2012-06	17348	11876
2012-07	16544	11567
2012-08	18497	12193
2012-09	16902	11516
2012-10	18761	11562
2012-11	22547	13302
2012-12	29246	16113
2013-01	31886	18892
2013-02	24128	11097
2013-03	31213	12977
2013-04	29703	15699
2013-05	22706	11685
2013-06	22597	11627
2013-07	22598	13602
2013-08	23489	13834
2013-09	21666	13029
2013-10	20189	10705
2013-11	22530	12337
2013-12	21633	8683
2014-01	28542	17005
2014-02	29640	19233
2014-03	36553	21620
2014-04	20715	10071
2014-05	14437	6614
2014-06	13270	4881
2014-07	12620	5646
2014-08	16479	9315
2014-09	22160	16949
2014-10	24547	18347
2014-11	23451	15153
2014-12	27883	15200
2015-01	24791	11847
2015-02	24291	11161
2015-03	30302	12181
2015-04	26677	13087
2015-05	24571	13923
2015-06	24605	13200
2015-07	22195	11655
2015-08	21514	9791
2015-09	21775	10987
2015-10	23918	11671
2015-11	26438	12319
2015-12	36673	18498
2016-01	31712	13462
2016-02	32110	13724
2016-03	35332	12191
2016-04	32657	14617
2016-05	29247	14959
2016-06	33475	20090
2016-07	29755	19367
2016-08	27353	17794
2016-09	14955	8261
2016-10	16048	9720
2016-11	17223	10690
2016-12	17825	9054
2017-01	15073	8254
2017-02	15209	10002
2017-03	18787	9457
2017-04	16406	11802
2017-05	16149	14824
2017-06	16504	15132
2017-07	14525	14824
2017-08	14019	13787
2017-09	12117	-9223372036854762960
2017-10	13201	-9223372036854762960
2017-11	14334	-9223372036854762960
2017-12	15455	-9223372036854762960
2018-01	13775	-9223372036854762960
2018-02	15617	-9223372036854762960
