month	totals	adj_mult	adj_add
2010-01	15346		
2010-02	14929		
2010-03	19380		
2010-04	15922		
2010-05	13890		
2010-06	14432		
2010-07	12848	14882.0	14882.0
2010-08	14183	14807.124999999998	14807.124999999998
2010-09	13743	14820.625	14820.625
2010-10	14371	14870.708333333332	14870.708333333332
2010-11	15005	14982.0	14982.0
2010-12	15546	15072.124999999998	15072.124999999998
2011-01	13324	15124.875	15124.875
2011-02	15154	15127.833333333332	15127.833333333332
2011-03	19479	15133.416666666666	15133.416666666666
2011-04	17025	15183.624999999998	15183.624999999998
2011-05	15458	15227.541666666666	15227.541666666666
2011-06	15027	15378.75	15378.75
2011-07	13519	15698.75	15698.75
2011-08	13583	16087.958333333332	16087.958333333332
2011-09	14477	16398.875	16398.875
2011-10	14842	16603.125	16603.125
2011-11	15588	16816.25	16816.25
2011-12	18592	17036.625	17036.625
2012-01	17958	17259.374999999996	17259.374999999996
2012-02	19861	17590.166666666664	17590.166666666664
2012-03	22234	17895.958333333332	17895.958333333332
2012-04	19172	18160.291666666664	18160.291666666664
2012-05	18426	18613.541666666664	18613.541666666664
2012-06	17348	19347.416666666664	19347.416666666664
2012-07	16544	20371.666666666664	20371.666666666664
2012-08	18497	21129.791666666664	21129.791666666664
2012-09	16902	21681.708333333332	21681.708333333332
2012-10	18761	22494.625	22494.625
2012-11	22547	23111.75	23111.75
2012-12	29246	23508.791666666664	23508.791666666664
2013-01	31886	23979.75	23979.75
2013-02	24128	24439.999999999996	24439.999999999996
2013-03	31213	24846.5	24846.5
2013-04	29703	25104.5	25104.5
2013-05	22706	25163.291666666664	25163.291666666664
2013-06	22597	24845.375	24845.375
2013-07	22598	24388.833333333332	24388.833333333332
2013-08	23489	24479.166666666664	24479.166666666664
2013-09	21666	24931.333333333332	24931.333333333332
2013-10	20189	24779.333333333332	24779.333333333332
2013-11	22530	24060.291666666664	24060.291666666664
2013-12	21633	23327.124999999996	23327.124999999996
2014-01	28542	22522.75	22522.75
2014-02	29640	21814.916666666664	21814.916666666664
2014-03	36553	21543.416666666664	21543.416666666664
2014-04	20715	21745.583333333332	21745.583333333332
2014-05	14437	21965.541666666664	21965.541666666664
2014-06	13270	22264.333333333332	22264.333333333332
2014-07	12620	22368.458333333332	22368.458333333332
2014-08	16479	21989.291666666664	21989.291666666664
2014-09	22160	21505.958333333332	21505.958333333332
2014-10	24547	21493.916666666664	21493.916666666664
2014-11	23451	22164.583333333332	22164.583333333332
2014-12	27883	23059.125	23059.125
2015-01	24791	23930.375	23930.375
2015-02	24291	24539.124999999996	24539.124999999996
2015-03	30302	24732.875	24732.875
2015-04	26677	24690.625	24690.625
2015-05	24571	24788.875	24788.875
2015-06	24605	25279.583333333332	25279.583333333332
2015-07	22195	25934.208333333332	25934.208333333332
2015-08	21514	26548.374999999996	26548.374999999996
2015-09	21775	27083.749999999996	27083.749999999996
2015-10	23918	27542.5	27542.5
2015-11	26438	27986.499999999996	27986.499999999996
2015-12	36673	28550.916666666664	28550.916666666664
2016-01	31712	29235.5	29235.5
2016-02	32110	29793.791666666668	29793.791666666668
2016-03	35332	29752.916666666664	29752.916666666664
2016-04	32657	29140.833333333332	29140.833333333332
2016-05	29247	28428.958333333332	28428.958333333332
2016-06	33475	27259.666666666664	27259.666666666664
2016-07	29755	25781.041666666664	25781.041666666664
2016-08	27353	24383.541666666664	24383.541666666664
2016-09	14955	22989.958333333332	22989.958333333332
2016-10	16048	21623.45833333333	21623.45833333333
2016-11	17223	20400.583333333332	20400.583333333332
2016-12	17825	19147.708333333332	19147.708333333332
2017-01	15073	17806.0	17806.0
2017-02	15209	16615.833333333332	16615.833333333332
2017-03	18787	15942.0	15942.0
2017-04	16406	15705.125	15705.125
2017-05	16149	15466.125	15466.125
2017-06	16504	15247.0	15247.0
2017-07	14525	15094.166666666664	15094.166666666664
2017-08	14019	15057.083333333332	15057.083333333332
2017-09	12117		
2017-10	13201		
2017-11	14334		
2017-12	15455		
2018-01	13775		
2018-02	15617		
